"stormnum","stormdoy","year","pond","rise_chl_slope","rise_pc_slope","rise_points","post2_chl_slope","post3_chl_slope","post10_chl_slope","post2_pc_slope","post3_pc_slope","post10_pc_slope","delay_chl_slope","delay_pc_slope","delay_points","pre_chl_ugl","pre_pc_ugl","endrise_chl_ugl","endrise_pc_ugl","rise_chl_percch","rise_pc_percch","post10_chl_percch","post10_pc_percch"
11,107,2024,"Strickers",8.44650000000011,1.8071666666667,3,8.44650000000011,8.55693333333333,1.27964545454546,1.8071666666667,1.32376666666667,-0.0525575757575728,-0.37795,-0.490538888888889,9,44.6566666666667,12.1003333333333,61.5496666666667,15.7146666666667,37.8286183473917,29.8697005592138,28.6551941750868,-4.34348164713695
12,128,2024,"Strickers",-2.52799999999998,0.352,2,-15.580666666667,-10.7334333333333,-0.333036363636357,-1.34083333333337,-0.825766666666667,-0.278790909090909,0.670905050505043,-0.226347474747475,10,98.548,14.304,96.02,14.656,-2.56524739213376,2.46085011185682,-3.37943300357548,-19.4904159040065
13,142,2024,"Strickers",0.675333333333321,-0.450666666666647,2,-12.8213333333341,-22.0096,NA,-0.642000000000031,-2.05843333333333,NA,-32.6340000000014,-3.06650000000016,3,111.988666666667,12.518,112.664,12.0673333333333,0.603037212098832,-3.60014911860239,NA,NA
14,145,2024,"Strickers",-3.97299999999997,-0.80266666666666,2,-7.39116666666702,-3.58563333333333,3.12589696969701,-1.09266666666672,-0.354866666666666,0.276427272727276,4.1253818181818,0.382260606060605,10,47.396,5.93433333333333,43.423,5.13166666666667,-8.38256392944546,-13.5258102566982,65.9527590872016,46.5810154570482
15,155,2024,"Strickers",-11.9266666666661,-0.858666666666625,2,2.1280000000001,5.29706666666667,NA,-0.135666666666666,-0.0698666666666665,NA,4.61355555555555,-0.233705555555555,9,80.7433333333333,8.721,68.8166666666667,7.86233333333333,-14.7710853321217,-9.84596567671856,NA,NA
16,164,2024,"Strickers",-1.14500000000012,0.484500000000004,3,-1.14500000000012,-2.72796666666668,NA,0.484500000000004,0.322733333333333,NA,1.58615873015873,0.865654761904759,8,114.156333333333,6.815,111.866333333333,7.784,-2.00602098292129,14.2186353631696,NA,NA
17,173,2024,"Strickers",-10.515666666667,-0.709000000000023,3,-10.515666666667,-16.2463333333333,NA,-0.709000000000023,-0.7554,NA,-22.9639999999989,-0.403333333333312,2,119.080666666667,13.5776666666667,98.0493333333333,12.1596666666667,-17.6614171905884,-10.4436206515605,NA,NA
18,176,2024,"Strickers",-5.83666666666661,-0.593999999999994,2,-9.15000000000045,-4.97783333333334,NA,0.0730000000000119,0.145299999999999,NA,-2.07543333333333,0.00946666666666867,4,75.0853333333333,11.7563333333333,69.2486666666667,11.1623333333333,-7.77337784565109,-5.05259576398532,NA,NA
19,180,2024,"Strickers",0.455499999999988,-0.478833333333345,3,0.455499999999988,-5.21196666666667,NA,-0.478833333333345,-0.7318,NA,-17.9443333333339,-1.21100000000004,2,60.3766666666667,11.1633333333333,61.2876666666667,10.2056666666667,1.5088610390327,-8.5786802030459,NA,NA
20,184,2024,"Strickers",6.89133333333333,-0.522000000000067,3,6.89133333333333,-3.21203333333333,3.63700303030306,-0.522000000000067,-1.139,0.195872727272731,6.77946111111111,0.60265,9,43.3433333333333,8.99466666666667,57.126,7.95066666666667,31.7988156579251,-11.6068781500163,83.9114749743073,21.7765409805141
21,195,2024,"Strickers",-23.7426666666672,-2.88800000000005,3,-23.7426666666672,-25.8535333333333,NA,-2.88800000000005,-2.3115,NA,9.21330952380927,0.504999999999986,7,108.138333333333,13.5213333333333,60.653,7.74533333333333,-43.9116563660754,-42.7176807021011,NA,NA
22,203,2024,"Strickers",-16.7823333333332,-0.973333333333324,2,-5.25333333333337,NA,NA,-0.798500000000013,NA,NA,6.27566666666614,-0.623666666666611,2,117.529,10.568,100.746666666667,9.59466666666667,-14.2793126235509,-9.21019429724947,NA,NA
23,205,2024,"Strickers",6.79200000000014,0.727500000000035,3,6.79200000000014,7.10006666666667,16.4828181818183,0.727500000000035,0.324566666666666,0.976360606060612,16.1004444444444,0.993827777777778,9,107.022333333333,8.971,120.606333333333,10.426,12.6926778522866,16.2189276557805,154.012883745308,108.83520299416
24,219,2024,"Strickers",-73.6085000000012,-3.02683333333338,3,-73.6085000000012,-55.1631666666667,NA,-3.02683333333338,-2.12556666666667,NA,-0.822552380952384,-0.981409523809528,6,319.306,22.6583333333333,172.089,16.6046666666667,-46.105303376699,-26.7171754321446,NA,NA
26,263,2024,"Strickers",-14.3813333333336,-3.30400000000005,3,-14.3813333333336,NA,NA,-3.30400000000005,NA,NA,NA,NA,1,206.091333333333,22.669,177.328666666667,16.061,-13.956271814762,-29.1499404473074,NA,NA
27,265,2024,"Strickers",-45.5888333333375,-5.34933333333375,3,-45.5888333333375,-48.0951,4.59794848484851,-5.34933333333375,-4.8619,-0.504372727272726,18.3863166666667,0.604616666666667,9,177.328666666667,16.061,86.151,5.36233333333333,-51.4173305312593,-66.6127057260912,25.9289632707356,-31.4035693464122
28,304,2024,"Strickers",-20.7626666666667,-0.931666666666633,3,-20.7626666666667,-19.1171333333333,-7.37449696969696,-0.931666666666633,-0.586633333333333,-0.392172727272727,-5.32397222222222,-0.376211111111111,9,188.256333333333,12.216,146.731,10.3526666666667,-22.0578679070558,-15.2532198209992,-39.1726367932569,-32.1032029529082
29,209,2023,"Tiedemans",-2.28866666666649,-0.88149999999997,3,-2.28866666666649,0.962533333333334,NA,-0.88149999999997,0.406866666666665,NA,-1.44340697674418,0.174096899224807,5,73.67,14.0543333333333,69.0926666666667,12.2913333333333,-6.21329351613002,-12.544173801674,NA,NA
32,92,2024,"Tiedemans",1.0456666666667,0.275333333333338,3,1.0456666666667,0.188133333333334,-0.00609090909090786,0.275333333333338,0.2446,0.0211969696969696,-0.19146111111111,-0.0333111111111111,9,21.9646666666667,1.03233333333333,24.056,1.583,9.52135247518776,53.3419438165977,-0.277304872563869,20.5330671911233
33,128,2024,"Tiedemans",0.587000000000012,-0.0279999999999989,2,2.18016666666671,8.93843333333333,2.53429090909091,0.00666666666666645,0.564233333333333,0.126927272727273,2.30864242424242,0.116490909090909,10,40.2126666666667,2.285,40.7996666666667,2.257,1.45973905402944,-1.22538293216625,63.022204672431,55.5480405808635
34,142,2024,"Tiedemans",-2.46233333333333,0.0636666666666759,3,-2.46233333333333,-4.87603333333333,NA,0.0636666666666759,-0.115133333333333,NA,-13.5189999999999,-0.710333333333326,2,105.258,6.103,100.333333333333,6.23033333333333,-4.67866258780013,2.08640559287812,NA,NA
35,145,2024,"Tiedemans",-19.1821666666675,-0.864000000000044,3,-19.1821666666675,NA,NA,-0.864000000000044,NA,NA,5.62738333333331,0.308133333333332,6,86.8143333333333,5.52,48.45,3.792,-44.1912433814711,-31.3043478260885,NA,NA
37,180,2024,"Tiedemans",-8.47083333333303,-1.57766666666663,3,-8.47083333333303,-0.850333333333344,NA,-1.57766666666663,-0.540633333333335,NA,-10.3233333333336,-1.91466666666672,2,192.419666666667,26.2566666666667,175.478,23.1013333333333,-8.80454007646449,-12.0172654563918,NA,NA
38,184,2024,"Tiedemans",-20.9011666666667,-3.17763333333333,4,-17.6586666666687,-20.9011666666667,1.38871212121216,-3.3555000000003,-3.17763333333333,-0.293160606060603,8.64520634920634,0.702527777777776,8,165.154666666667,21.1866666666667,113.895,12.9056666666667,-37.9665323817674,-44.9948080553807,8.40855513949847,-13.8370330110417
39,195,2024,"Tiedemans",-23.732666666667,-0.83183333333333,3,-23.732666666667,-18.1968,NA,-0.83183333333333,-0.3963,NA,9.6801666666665,0.769892857142845,7,158.737,15.841,111.271666666667,14.1773333333333,-29.9018712293504,-10.5022831050228,NA,NA
40,203,2024,"Tiedemans",-17.4979999999999,-5.81933333333328,2,-9.44300000000015,-2.4764,NA,-2.07900000000002,-1.39956666666667,NA,2.80095238095239,0.298933333333333,6,148.530333333333,17.9686666666667,131.032333333333,12.1493333333333,-11.7807585880324,-32.38600526843,NA,NA
42,265,2024,"Tiedemans",-28.0440000000013,-2.02416666666676,3,-28.0440000000013,-14.2720666666667,9.19923333333336,-2.02416666666676,-1.1678,0.225203030303032,14.2897555555556,0.527494444444444,9,182.149333333333,12.5066666666667,126.061333333333,8.45833333333333,-30.7923169267722,-32.3694029850762,50.503799080608,18.0066388835047
