"pond","year","doy","chl_rfu","chl_ugl","pc_rfu","pc_ugl","do_sat","do_mgl","pH","temp_C"
"Strickers",2022,150,46.082,184.584098019617,9.151,9.13145111801065,147.595,13.2195,9.948,20.70245
"Strickers",2022,151,59.294,237.041044542122,12.1105,12.1343884221596,143.685,12.277,10.077,23.1444
"Strickers",2022,152,60.0715,240.128031820448,13.9915,14.0429963184611,147.94,12.6395,10.012,23.12935
"Strickers",2022,153,69.9085,279.184872793948,17.639,17.7440315666055,161.255,13.8725,10.0185,22.7952
"Strickers",2022,154,79.3575,316.701197929518,21.1865,21.343599090332,166.615,14.331,10.0225,22.78005
"Strickers",2022,155,86.1095,343.509349830816,24.1925,24.3937188863354,158.385,13.8325,10.035,21.95375
"Strickers",2022,156,76.557,305.582088125077,27.1525,27.3971635291064,116.205,10.6125,9.603,19.72735
"Strickers",2022,157,74.2425,296.392593519692,26.93,27.1713978422765,140.085,12.5465,9.7555,20.70355
"Strickers",2022,158,74.6165,297.877523734604,29.598,29.8785567297472,122.1,11.134,9.503,19.7915
"Strickers",2022,159,72.7375,290.417139045247,30.6,30.895263328415,109.265,9.7925,9.3315,20.6376
"Strickers",2022,160,61.1105,244.253279128719,27.5915,27.8426068393012,117.42,10.828,9.4085,19.23175
"Strickers",2022,161,51.5165,206.161245754748,26.311,26.5433126281295,171.505,15.145,10.011,21.44175
"Strickers",2022,162,55.231,220.909302661942,26.3245,26.5570107709259,125.19,11.012,9.778,21.66065
"Strickers",2022,163,47.0315,188.353994380737,28.46,28.723854025871,130.745,11.666,9.7855,20.91855
"Strickers",2022,164,58.1505,232.500890262037,32.255,32.5745541675319,95.935,8.5315,9.289,21.0818
"Strickers",2022,165,58.4625,233.739655575011,34.519,34.8717834483541,99.85,8.7635,9.4515,21.76075
"Strickers",2022,166,57.0445,228.109626043607,33.1385,33.4710215127644,96.365,7.8245,9.5145,25.89365
"Strickers",2022,167,33.771,135.704483378491,21.7215,21.886451415968,39.095,3.1485,8.595,26.3086
"Strickers",2022,168,32.9855,132.585732887011,19.3295,19.4593434478909,72.775,5.884,9.3125,26.0967
"Strickers",2022,169,36.251,145.551079455982,13.8865,13.9364552078223,58.625,4.7835,8.8545,25.5241
"Strickers",2022,170,34.0275,136.722891400215,8.554,8.52568880323554,52.16,4.3595,8.516,24.24555
"Strickers",2022,171,35.7035,143.37728455581,8.439,8.4090009201549,46.605,3.8655,7.8455,24.6635
"Strickers",2022,172,30.7135,123.564980351503,8.965,8.94272115059328,59.955,4.871,8.1165,25.85205
"Strickers",2022,173,35.811,143.804102732556,12.6165,12.6478151077144,82.6,6.478,8.7,27.7971
"Strickers",2022,174,40.7115,163.261055989711,17.1125,17.2098039975451,107.845,8.516,8.9455,27.34865
"Strickers",2022,175,45.4155,181.937825323791,19.7775,19.9139188532832,90.685,7.222,8.4395,26.9498
"Strickers",2022,176,41.8435,167.755550650889,19.581,19.714534774802,109.435,8.578,9.1415,27.89745
"Strickers",2022,177,44.6635,178.95208328739,21.546,21.7083755596145,29.745,2.4805,6.9955,24.3808
"Strickers",2022,178,55.161,220.631374546851,27.523,27.7731014480749,102.685,8.63,8.199,23.97305
"Strickers",2022,179,52.074,208.374744671361,26.815,27.0547099591959,155.895,13.0435,9.037,24.24485
"Strickers",2022,180,54.233,216.94684182108,29.633,29.9140704332935,122.885,10.176,8.909,24.82595
"Strickers",2022,181,59.4055,237.483744325444,29.7935,30.0769261309843,103.615,8.434,8.913,25.72485
"Strickers",2022,182,60.45,241.630828842759,31.7145,32.0261211170529,82.725,6.65,8.793,26.4204
"Strickers",2022,183,62.775,250.862012665407,34.545,34.8981650567028,100.975,8.2565,8.7925,25.4527
"Strickers",2022,184,52.005,208.100786957915,33.023,33.3538262910617,91.37,7.544,8.831,24.94995
"Strickers",2022,185,76.437,305.105639927779,41.999,42.4615692348162,18.005,1.4715,7.555,25.4206
"Strickers",2022,186,55.229,220.901361858653,38.0625,38.4672922631039,66.96,5.533,8.105,24.92615
"Strickers",2022,187,45.665,182.928440534006,30.2745,30.5649858854346,38.895,3.1715,7.452,25.62985
"Strickers",2022,188,45.2665,181.346235478813,32.058,32.3746627504286,66.08,5.327,8.1975,26.215
"Strickers",2022,189,58.13,232.419497028332,37.579,37.9766958155432,40.365,3.2235,7.9215,26.74015
"Strickers",2022,190,54.5445,218.183621933233,37.6445,38.0431571750369,77.47,6.3655,8.166,25.196
"Strickers",2022,191,48.9165,195.838201479959,36.6715,37.0558762164503,77.37,6.3545,8.2175,25.2855
"Strickers",2022,192,53.591,214.397843965536,35.9575,36.3313966641062,102.97,8.518,8.9495,24.86135
"Strickers",2022,193,60.2655,240.898289739413,41.432,41.8862472373664,90.15,7.416,8.482,25.1526
"Strickers",2022,194,74.857,298.832405330022,55.3465,56.0049737515009,81.755,6.6475,7.931,25.7807
"Strickers",2022,195,71.7795,286.613494270152,60.1055,60.8338227565508,103.715,8.421,8.6575,25.86725
"Strickers",2022,196,90.4045,360.562224892439,63.783,64.5652983220206,53.64,4.375,7.98,25.65185
"Strickers",2022,197,97.7375,389.677180148988,67.697,68.5367450557389,38.14,3.2685,7.038,23.04285
"Strickers",2022,198,102.9815,410.497966370908,72.7765,73.6907981175482,34.2,2.858,7.0775,24.30885
"Strickers",2022,199,87.999,351.011423737437,58.139,58.838459955872,20.855,1.719,7.0835,25.0854
"Strickers",2022,201,69.7045,278.374910858541,46.5925,47.1224891559543,92.965,7.3565,9.4115,27.2978
"Strickers",2022,202,67.1675,268.302001887334,50.349,50.9341242237143,90.075,7.2055,9.1495,26.67775
"Strickers",2022,203,71.0195,283.595989020598,54.5355,55.1820705064714,66.035,5.2685,8.7285,26.79695
"Strickers",2022,204,69.9435,279.323836851493,57.908,58.6040695124665,2.295,0.1825,7.427,26.9379
"Strickers",2022,205,59.8425,239.218809843938,46.705,47.2366403459245,29.555,2.342,7.877,27.2562
"Strickers",2022,206,62.8805,251.280890038864,51.174,51.7712329501623,66.735,5.3455,8.2105,26.5902
"Strickers",2022,207,53.8085,215.261406323139,46.407,46.934266527159,113.025,9.141,9.299,26.10535
"Strickers",2022,208,78.8545,314.70408590251,57.8535,58.5487696026588,30.71,2.495,7.789,25.8824
"Strickers",2022,209,74.913,299.054747822095,53.448,54.0786090034263,81.54,6.554,8.282,26.4073
"Strickers",2022,210,80.5785,321.549058337024,60.5105,61.2447670404435,81.465,6.694,7.8795,25.19895
"Strickers",2022,211,75.8835,302.908022617742,63.258,64.0325927688264,95.99,7.8975,8.237,25.15065
"Strickers",2022,212,66.8655,267.1029405908,62.4045,63.1665657409193,33.915,2.791,7.509,25.2211
"Strickers",2022,213,76.1425,303.936356643577,60.0335,60.7607659949699,67.385,5.4685,8.186,25.90235
"Strickers",2022,214,71.684,286.234320913135,66.7905,67.6169401338902,62.195,5.0355,7.427,26.0008
"Strickers",2022,215,92.826,370.176552473747,65.4585,66.2653900446432,64.385,5.18,7.614,26.3498
"Strickers",2022,216,87.8615,350.465493511366,69.89,70.7619322522243,31.01,2.5285,6.95,25.5915
"Strickers",2022,217,93.3075,372.088300865405,82.106,83.1572294671201,9.875,0.8055,6.8675,25.73815
"Strickers",2022,218,101.697,405.397985458998,83.2675,84.3357770862345,-2,-0.16,6.87,26.2047
"Strickers",2022,219,102.5365,408.731137639262,56.681,57.3590605338584,53.17,4.2505,6.9545,26.6993
"Strickers",2022,220,123.1585,490.608760344915,71.883,72.7841839998739,41.08,3.311,6.8125,26.3522
"Strickers",2022,221,73.565,293.702646405781,53.5595,54.1917455161523,41.095,3.414,6.625,24.63055
"Strickers",2022,222,55.861,223.410655697756,48.813,49.3755799766547,14.64,1.2175,6.6595,24.53035
"Strickers",2022,223,71.142,284.082363222006,52.2715,52.8848412256492,49.975,4.0745,6.9945,25.68785
"Strickers",2022,224,67.778,270.725932091087,52.58,53.1978691554786,62.48,5.1285,7.207,25.2091
"Strickers",2022,225,92.8345,370.210300887722,60.5115,61.2457817176876,66.09,5.7395,7.078,22.2851
"Strickers",2022,226,92.7015,369.68223746905,68.4325,69.2830401688328,73.66,6.376,6.9405,22.50935
"Strickers",2022,227,113.56,452.498860163545,80.711,81.7417547114898,26,2.2875,6.67,21.6082
"Strickers",2022,228,111.867,445.77697018,78.3425,79.3384916586509,59.75,5.185,7.013,22.35705
"Strickers",2022,229,118.458,471.94588741659,82.035,83.0851873827833,16.615,1.4365,6.8225,22.4815
"Strickers",2022,230,104.044,414.716518117817,75.1215,76.0702162551489,13.445,1.153,6.985,22.96005
"Strickers",2022,231,119.6245,476.577360934491,69.477,70.3428705503782,42.185,3.577,7.6005,23.41665
"Strickers",2022,232,87.7635,350.076394150239,53.1415,53.7676104280853,77.565,6.639,8.957,23.05885
"Strickers",2022,233,85.481,341.013952397468,54.296,54.9390553064905,34.98,3.047,7.368,22.1253
"Strickers",2022,234,83.9055,334.75858460711,51.5155,52.1177452290496,93.585,8.064,8.8045,22.7854
"Strickers",2022,235,86.5685,345.331764185481,59.472,60.1910247223631,33.395,2.8495,7.738,23.25745
"Strickers",2022,236,100.416,400.311900952843,68.1795,69.0263268260554,9.885,0.833,7.4745,23.9263
"Strickers",2022,237,97.1065,387.171856711529,50.681,51.2709970687819,49.56,4.148,8.219,24.3096
"Strickers",2022,238,67.366,269.090126613697,38.182,38.5885461937833,86.84,7.2655,9.072,24.31105
"Strickers",2022,239,72.1235,287.979312435739,39.871,40.3023360592024,73.96,6.188,8.8935,24.32655
"Strickers",2022,240,76.9685,307.215908401644,40.2675,40.7046555865195,67.765,5.747,8.3215,23.56155
"Strickers",2022,241,78.463,313.149673658826,41.4015,41.855299581419,67.575,5.6785,7.9905,24.0449
"Strickers",2022,242,80.796,322.412620694627,42.872,43.3473824689848,77.165,6.511,8.252,23.8163
"Strickers",2022,243,81.426,324.913973730441,43.6645,44.151514184997,105.205,8.9435,9.159,23.4183
"Strickers",2022,244,78.0665,311.575409406921,40.697,41.1404594628946,117.77,9.85,9.4005,24.30975
"Strickers",2022,245,88.743,353.965402560684,44.726,45.2285940796934,79.42,6.5995,9.191,24.68025
"Strickers",2022,246,88.13,351.53154635282,44.199,44.6938591720109,87.875,7.2945,9.21,24.7109
"Strickers",2022,247,86.864,346.505017871327,46.3775,46.9043335484557,32.935,2.876,6.994,22.04835
"Strickers",2022,248,83.059,331.397639615338,48.336,48.8915789311811,51.335,4.6235,7.1365,20.46025
"Strickers",2022,249,72.659,290.105462516181,51.1755,51.7727549660286,17.575,1.572,6.89,20.82675
"Strickers",2022,250,81.4965,325.193887046354,53.335,53.9639504748341,22.375,1.9795,7.185,21.31385
"Strickers",2022,251,74.328,296.732062860267,56.537,57.2129470106965,13.54,1.184,7.062,21.9748
"Strickers",2022,252,79.0515,315.486255026408,46.141,46.6643623802073,75.83,6.459,8.9725,23.38965
"Strickers",2022,253,75.965,303.23161035174,44.6255,45.1266190166534,100.005,8.4485,9.3255,23.7442
"Strickers",2022,254,78.8435,314.660411484425,43.498,43.9825704238411,75.605,6.633,8.5675,21.75105
"Strickers",2022,255,70.1535,280.157621196764,39.3665,39.7904313895138,47.31,4.513,6.871,17.61545
"Strickers",2022,256,67.0025,267.646885616049,40.734,41.1780025209292,57.155,5.5755,6.888,16.5484
"Strickers",2022,257,54.309,217.248592346036,38.099,38.5043279825164,59.45,5.635,6.9755,17.9072
"Strickers",2022,258,72.4795,289.392775421056,43.959,44.4503366334078,68.49,6.389,7.4005,18.69385
"Strickers",2022,259,74.6505,298.012517390505,41.0325,41.4808836783168,91.52,8.285,8.2675,20.2101
"Strickers",2022,260,72.4015,289.083084092813,37.789,38.1897780368208,96.95,8.5425,8.495,21.5849
"Strickers",2022,261,68.417,273.263018741699,33.501,33.8388420137795,103.33,9.054,8.808,21.85255
"Strickers",2022,262,76.0475,303.559168487382,38.178,38.5844874848066,20.985,1.835,6.996,21.97835
"Strickers",2022,263,75.405,316.649,34.0905,35.0395,62.35,5.4445,8.4985,22.0596
"Strickers",2022,264,66.7865,280.456,29.7185,30.549,101.81,8.785,9.1525,22.6526
"Strickers",2022,265,80.413,337.6895,34.7385,35.704,89.995,8.0765,8.9385,20.5694
"Strickers",2022,266,73.515,308.72,35.0815,36.057,119.005,11.163,9.476,18.40365
"Strickers",2022,267,85.228,357.9165,37.7645,38.8125,92.395,9.0285,9.0705,16.4553
"Strickers",2022,268,76.5075,321.2875,34.5505,35.511,93.43,9.242,8.878,15.8689
"Strickers",2022,269,80.881,339.659,37.211,38.2435,89.445,8.917,8.582,15.50375
"Strickers",2022,270,81.3765,341.738,38.967,40.0475,101.73,10.3775,9.047,14.4405
"Strickers",2022,271,83.2935,349.787,39.1765,40.2625,109.45,11.295,9.336,13.9131
"Strickers",2022,272,79.5185,333.9325,40.331,41.448,113.175,11.7095,9.3515,13.8286
"Strickers",2022,273,76.9555,323.168,37.1225,38.152,130.33,13.3445,9.635,14.29065
"Strickers",2022,274,83.828,352.0335,40.2285,41.341,95.52,9.68,8.7145,14.752
"Strickers",2022,275,109.9355,461.6925,48.6815,50.023,86.83,8.7465,8.6895,15.03465
"Strickers",2022,276,102.048,428.5575,43.2195,44.415,88.28,8.674,8.7165,16.2021
"Strickers",2022,277,74.763,313.9555,30.5495,31.4025,161.145,15.7395,10.079,16.4634
"Strickers",2022,278,115.7125,485.955,47.528,48.837,84.625,8.3335,8.8585,16.1004
"Strickers",2022,279,117.1565,492.026,47.2575,48.56,81.365,7.983,8.741,16.25875
"Strickers",2022,280,106.146,445.7755,39.9525,41.0595,107.905,11.0475,9.609,14.2652
"Strickers",2022,302,80.4125,337.6885,34.6215,35.5825,118.61,13.495,9.36,9.64525
"Strickers",2022,303,96.574,405.5725,38.058,39.113,114.15,12.837,9.2335,10.1427
"Strickers",2022,304,79.9785,335.8685,29.7385,30.57,132.49,14.685,9.6025,10.761
"Strickers",2022,305,81.271,341.2935,32.329,33.23,126.605,13.9515,9.414,11.00005
"Strickers",2022,306,80.247,336.9955,32.7385,33.65,123.125,13.5775,9.529,10.98075
"Strickers",2022,307,89.867,377.402,28.5175,29.315,128.04,13.787,9.729,12.02055
"Strickers",2022,308,97.193,408.171,29.522,30.3465,109.625,11.441,9.59,13.4078
"Strickers",2022,309,94.043,394.9375,30.036,30.8745,81.63,8.57,8.7615,13.1446
"Strickers",2022,310,84.094,353.1495,26.572,27.318,72.5,8.042,7.386,10.73075
"Strickers",2022,311,86.325,362.525,28.06,28.8445,87.19,9.924,7.8785,9.63195
"Strickers",2022,312,89.8915,377.503,31.493,32.3695,92.535,10.8675,8.333,8.33155
"Strickers",2023,101,23.7323333333333,97.0913333333333,16.6056666666667,16.6776666666667,156.566666666667,16.082,9.84466666666667,14.0684333333333
"Strickers",2023,102,27.5066666666667,112.944666666667,19.3133333333333,19.4603333333333,160.586666666667,15.753,9.925,16.2025333333333
"Strickers",2023,103,30.8616666666667,127.036333333333,23.068,23.314,141.803333333333,13.438,9.89533333333333,17.8463666666667
"Strickers",2023,104,37.209,153.697,26.2646666666667,26.5973333333333,149.91,13.869,9.92333333333333,19.0304666666667
"Strickers",2023,105,40.3966666666667,167.080666666667,29.4043333333333,29.8233333333333,141.643333333333,12.835,9.85633333333333,20.0701333333333
"Strickers",2023,106,37.612,155.389666666667,29.118,29.5286666666667,115.08,10.3303333333333,9.61233333333333,20.5432
"Strickers",2023,107,29.9176666666667,123.07,25.363,25.6716666666667,88.39,9.305,9.32566666666667,12.9493333333333
"Strickers",2023,108,30.75,126.570666666667,26.6363333333333,26.9793333333333,92.1033333333333,10.808,9.347,8.3044
"Strickers",2023,109,24.122,98.7236666666667,22.7883333333333,23.0273333333333,104.433333333333,11.5676666666667,9.32933333333333,10.7280333333333
"Strickers",2023,110,24.5376666666667,100.475,21.003,21.1943333333333,94.2833333333333,11.095,9.04033333333333,8.1888
"Strickers",2023,111,23.6926666666667,96.9266666666667,18.563,18.689,105.86,11.6046666666667,9.19266666666667,11.1837333333333
"Strickers",2023,112,26.6166666666667,109.210333333333,17.2163333333333,17.305,112.116666666667,12.3903333333333,9.37033333333333,10.8265333333333
"Strickers",2023,113,28.4816666666667,117.041,15.9216666666667,15.9756666666667,118.36,13.322,9.523,10.0408
"Strickers",2023,114,34.132,140.769666666667,16.6283333333333,16.7023333333333,122.18,14.353,9.65266666666667,8.26156666666667
"Strickers",2023,115,31.8776666666667,131.305666666667,14.328,14.3396666666667,135.846666666667,15.2146666666667,9.75366666666667,10.2631333333333
"Strickers",2023,116,45.1276666666667,186.953,16.8543333333333,16.9343333333333,132.653333333333,14.9006666666667,9.61566666666667,10.1327
"Strickers",2023,117,50.861,211.033,17.9676666666667,18.0766666666667,134.226666666667,14.5536666666667,9.40366666666667,11.6452333333333
"Strickers",2023,126,20.6276666666667,84.0506666666667,31.5173333333333,31.9916666666667,168.343333333333,15.8566666666667,10.3033333333333,18.1605666666667
"Strickers",2023,127,23.3993333333333,95.6913333333333,36.3483333333333,36.9526666666667,137.193333333333,13.0896666666667,10.0113333333333,17.5415333333333
"Strickers",2023,128,22.1372,90.3912,34.8772,35.4432,121.18,11.1544,9.7788,19.29284
"Strickers",2023,132,24.489,100.27,35.3403333333333,35.9166666666667,174.546666666667,15.0383333333333,9.974,22.6710333333333
"Strickers",2023,133,32.8266666666667,135.288666666667,36.3896666666667,36.995,119.75,10.7266666666667,9.43833333333333,20.6425333333333
"Strickers",2023,134,30.4606666666667,125.353666666667,37.2216666666667,37.85,131.136666666667,12.033,9.59966666666667,19.4228333333333
"Strickers",2023,135,31.3136666666667,128.931,39.758,40.4553333333333,109.84,10.7906666666667,9.24733333333333,16.1356666666667
"Strickers",2023,136,32.044,132.003666666667,40.1343333333333,40.8413333333333,97.3733333333333,9.596,8.80033333333333,16.0042666666667
"Strickers",2023,137,29.1993333333333,120.053666666667,35.1943333333333,35.767,136.133333333333,12.6913333333333,9.69666666666667,18.6085666666667
"Strickers",2023,138,29.989,123.370333333333,34.1423333333333,34.6873333333333,127.006666666667,12.126,9.60433333333333,17.5089666666667
"Strickers",2023,139,31.7606666666667,130.812666666667,32.7213333333333,33.2276666666667,128.133333333333,11.9886666666667,9.73266666666667,18.4946
"Strickers",2023,140,35.8613333333333,148.034333333333,31.8156666666667,32.299,103.653333333333,9.90966666666667,9.46366666666667,17.392
"Strickers",2023,141,33.8043333333333,139.398333333333,26.8576666666667,27.2056666666667,111.68,10.276,9.367,19.3329
"Strickers",2023,142,33.2936666666667,137.248,25.3973333333333,25.7063333333333,95.2766666666667,8.55266666666667,8.873,20.5679
"Strickers",2023,143,35.2413333333333,145.431666666667,23.276,23.529,145.56,12.6666666666667,9.525,22.1342666666667
"Strickers",2023,144,36.6456666666667,151.333333333333,23.44,23.697,125.98,10.905,9.43366666666667,22.3733
"Strickers",2023,145,45.768,189.644666666667,22.4166666666667,22.647,136.666666666667,12.183,9.782,20.8650666666667
"Strickers",2023,146,44.4656666666667,184.175,22.2376666666667,22.4636666666667,153.843333333333,14.0563333333333,9.96533333333333,19.6565
"Strickers",2023,147,47.5046666666667,196.939,21.773,21.9846666666667,144.063333333333,13.007,9.77333333333333,20.298
"Strickers",2023,148,51.194,212.435,21.3183333333333,21.517,148.363333333333,13.162,9.877,21.1674
"Strickers",2023,149,61.4226666666667,255.400333333333,22.5826666666667,22.8163333333333,112.62,9.91,9.315,21.5374
"Strickers",2023,150,60.2986666666667,250.676666666667,19.2233333333333,19.367,147.73,12.5863333333333,9.722,23.2442666666667
"Strickers",2023,151,69.9726666666667,291.31,22.4216666666667,22.651,89.2433333333333,7.425,9.09033333333333,24.5075666666667
"Strickers",2023,152,71.3593333333333,284.966333333333,28.423,28.5143333333333,36.8666666666667,3.032,7.69733333333333,24.9275666666667
"Strickers",2023,153,65.19,260.336666666667,25.058,25.1326666666667,46.53,3.79533333333333,7.92466666666667,25.5536333333333
"Strickers",2023,154,82.1603333333333,328.087,28.7003333333333,28.7926666666667,52.9433333333333,4.26333333333333,7.63466666666667,26.2740333333333
"Strickers",2023,155,73.8283333333333,294.822333333333,25.1776666666667,25.2533333333333,78.9466666666667,6.34,8.04733333333333,26.4349666666667
"Strickers",2023,156,53.1136666666667,212.121,18.7106666666667,18.759,141.853333333333,11.4906666666667,9.29433333333333,25.9197333333333
"Strickers",2023,157,69.6043333333333,277.959333333333,24.364,24.4363333333333,71.38,5.853,7.61266666666667,25.2985666666667
"Strickers",2023,162,58.0243333333333,231.730666666667,17.8666666666667,17.9123333333333,119.176666666667,10.1156666666667,8.475,23.4114333333333
"Strickers",2023,163,64.5793333333333,257.897666666667,24.2423333333333,24.3133333333333,64.6133333333333,6.111,6.72966666666667,17.8825666666667
"Strickers",2023,168,68.758,274.579,22.4406666666667,22.5056666666667,150.12,13.0643333333333,8.91766666666667,22.1309
"Strickers",2023,169,71.8033333333333,286.734333333333,20.577,20.6336666666667,158.003333333333,13.4366666666667,9.10666666666667,23.2893666666667
"Strickers",2023,170,83.9723333333333,335.314666666667,25.6413333333333,25.7186666666667,128.706666666667,10.867,8.90066666666667,23.7156666666667
"Strickers",2023,171,78.102,311.883,24.071,24.1416666666667,147.366666666667,12.1383333333333,9.09133333333333,24.9878666666667
"Strickers",2023,172,86.0876666666667,343.762333333333,26.3616666666667,26.4433333333333,104.166666666667,8.52633333333333,8.67366666666667,25.4376333333333
"Strickers",2023,173,79.7346666666667,318.399,25.967,26.0443333333333,129.17,10.3656666666667,8.72666666666667,26.4099333333333
"Strickers",2023,174,81.6356666666667,325.987,26.4863333333333,26.5683333333333,96.5566666666667,7.74166666666667,8.299,26.3061666666667
"Strickers",2023,175,71.0723333333333,283.821666666667,23.379,23.4466666666667,137.246666666667,10.9263333333333,8.56833333333333,26.8180333333333
"Strickers",2023,176,85.362,340.866666666667,28.0566666666667,28.144,60.8566666666667,4.86566666666667,7.66233333333333,26.4928
"Strickers",2023,177,88.711,354.235,29.6556666666667,29.7506666666667,51.55,4.30133333333333,7.05733333333333,24.2179666666667
"Strickers",2023,178,90.8246666666667,362.670666666667,31.3456666666667,31.4483333333333,57.81,5.071,6.94466666666667,21.6890333333333
"Strickers",2023,179,88.7373333333333,354.341666666667,30.3356666666667,30.434,116.196666666667,9.88233333333333,8.09466666666667,23.3506666666667
"Strickers",2023,180,75.6163333333333,301.957,24.906,24.9806666666667,84.2366666666667,7.19066666666667,8.087,23.0932666666667
"Strickers",2023,181,86.8606666666667,346.849,31.873,31.9763333333333,34.2033333333333,2.83033333333333,6.99733333333333,24.7917
"Strickers",2023,182,55.6073333333333,222.081,19.1783333333333,19.229,144.493333333333,11.5966666666667,8.78666666666667,26.4823333333333
"Strickers",2023,183,55.834,222.982333333333,21.7046666666667,21.7663333333333,103.873333333333,8.41366666666667,8.28933333333333,25.9912333333333
"Strickers",2023,184,60.5896666666667,241.974333333333,28.6583333333333,28.75,88.9633333333333,7.085,8.06666666666667,26.9522666666667
"Strickers",2023,185,68.694,274.319,37.615,37.743,99.3533333333333,7.74266666666667,8.288,28.0951333333333
"Strickers",2023,186,105.937,423.004,64.643,64.8883333333333,66.6133333333333,5.131,8.09833333333333,28.8132333333333
"Strickers",2023,187,119.464666666667,477.010666666667,63.9423333333333,64.1823333333333,9.74666666666667,0.783333333333333,6.58766666666667,26.2575333333333
"Strickers",2023,188,111.870333333333,446.69,65.7456666666667,65.9943333333333,90.6166666666667,7.397,7.99533333333333,25.5288666666667
"Strickers",2023,189,103.251333333333,412.284333333333,57.814,58.0286666666667,93.3433333333333,7.75533333333333,8.00266666666667,24.5290666666667
"Strickers",2023,190,82.0613333333333,327.687333333333,46.786,46.9543333333333,135.833333333333,11.1633333333333,8.707,25.1484
"Strickers",2023,191,74.9326666666667,299.228,41.0486666666667,41.1916666666667,145.326666666667,11.817,8.84933333333333,25.7273666666667
"Strickers",2023,192,37.7316666666667,150.714333333333,25.8433333333333,25.922,114.386666666667,9.261,8.90566666666667,25.9312666666667
"Strickers",2023,193,41.541,165.927,24.5606666666667,24.635,150.776666666667,12.2626666666667,9.11366666666667,25.7148
