"date","datetime","station","precip_in","newsnow_in","newSWE_in","multiday","precip_mm","newsnow_mm","newSWE_mm"
2024-10-29,2024-10-29 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-10-29,2024-10-29 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-28,2024-10-28 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-28,2024-10-28 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-10-28,2024-10-28 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-27,2024-10-27 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-27,2024-10-27 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-10-27,2024-10-27 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-26,2024-10-26 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-26,2024-10-26 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-10-26,2024-10-26 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-25,2024-10-25 07:00:00,"WI-DA-99",0.04,NA,NA,NA,1.016,NA,NA
2024-10-25,2024-10-25 08:00:00,"WI-DA-63",0.08,NA,NA,NA,2.032,NA,NA
2024-10-25,2024-10-25 08:00:00,"WI-DA-60",0.04,NA,NA,NA,1.016,NA,NA
2024-10-25,2024-10-25 07:00:00,"WI-DA-46",0.08,NA,NA,NA,2.032,NA,NA
2024-10-24,2024-10-24 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-24,2024-10-24 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-10-24,2024-10-24 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-23,2024-10-23 07:00:00,"WI-DA-99",0,NA,NA,NA,0,NA,NA
2024-10-23,2024-10-23 08:00:00,"WI-DA-63",0,NA,NA,NA,0,NA,NA
2024-10-23,2024-10-23 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-22,2024-10-22 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-22,2024-10-22 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-10-22,2024-10-22 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-21,2024-10-21 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-21,2024-10-21 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-20,2024-10-20 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-20,2024-10-20 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-19,2024-10-19 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-19,2024-10-19 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-18,2024-10-18 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-18,2024-10-18 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-10-18,2024-10-18 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-17,2024-10-17 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-17,2024-10-17 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-10-17,2024-10-17 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-16,2024-10-16 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-16,2024-10-16 08:00:00,"WI-DA-60",0,0,NA,NA,0,0,NA
2024-10-16,2024-10-16 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-10-16,2024-10-16 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-15,2024-10-15 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-15,2024-10-15 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-10-15,2024-10-15 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-14,2024-10-14 07:00:00,"WI-DA-99",0.01,NA,NA,NA,0.254,NA,NA
2024-10-14,2024-10-14 11:00:00,"WI-DA-60",NA,NA,NA,NA,NA,NA,NA
2024-10-14,2024-10-14 08:00:00,"WI-DA-63",0.02,NA,NA,NA,0.508,NA,NA
2024-10-14,2024-10-14 07:00:00,"WI-DA-46",0.03,NA,NA,NA,0.762,NA,NA
2024-10-13,2024-10-13 07:00:00,"WI-DA-99",0.15,NA,NA,NA,3.81,NA,NA
2024-10-13,2024-10-13 08:00:00,"WI-DA-63",0.19,NA,NA,NA,4.826,NA,NA
2024-10-13,2024-10-13 07:00:00,"WI-DA-46",0.17,NA,NA,NA,4.318,NA,NA
2024-10-12,2024-10-12 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-12,2024-10-12 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-10-12,2024-10-12 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-11,2024-10-11 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-11,2024-10-11 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-10-11,2024-10-11 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-10,2024-10-10 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-10,2024-10-10 07:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-10-10,2024-10-10 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-09,2024-10-09 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-09,2024-10-09 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-10-09,2024-10-09 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-08,2024-10-08 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-08,2024-10-08 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-10-08,2024-10-08 05:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-07,2024-10-07 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-07,2024-10-07 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-10-07,2024-10-07 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-06,2024-10-06 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-06,2024-10-06 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-10-06,2024-10-06 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-05,2024-10-05 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-05,2024-10-05 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-10-05,2024-10-05 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-04,2024-10-04 07:00:00,"WI-DA-99",0.02,NA,NA,NA,0.508,NA,NA
2024-10-04,2024-10-04 08:00:00,"WI-DA-63",0.05,NA,NA,NA,1.27,NA,NA
2024-10-04,2024-10-04 07:00:00,"WI-DA-46",0.04,NA,NA,NA,1.016,NA,NA
2024-10-03,2024-10-03 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-03,2024-10-03 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-10-03,2024-10-03 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-02,2024-10-02 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-02,2024-10-02 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-10-02,2024-10-02 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-10-01,2024-10-01 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-10-01,2024-10-01 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-10-01,2024-10-01 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-30,2024-09-30 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-30,2024-09-30 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-30,2024-09-30 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-29,2024-09-29 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-29,2024-09-29 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-29,2024-09-29 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-28,2024-09-28 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-28,2024-09-28 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-28,2024-09-28 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-27,2024-09-27 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-27,2024-09-27 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-27,2024-09-27 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-26,2024-09-26 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-26,2024-09-26 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-26,2024-09-26 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-25,2024-09-25 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-25,2024-09-25 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-25,2024-09-25 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-24,2024-09-24 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-24,2024-09-24 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-24,2024-09-24 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-23,2024-09-23 07:00:00,"WI-DA-99",0.11,NA,NA,NA,2.794,NA,NA
2024-09-23,2024-09-23 08:00:00,"WI-DA-63",0.28,NA,NA,NA,7.112,NA,NA
2024-09-23,2024-09-23 07:00:00,"WI-DA-46",0.85,NA,NA,NA,21.59,NA,NA
2024-09-22,2024-09-22 07:00:00,"WI-DA-99",1.77,NA,NA,NA,44.958,NA,NA
2024-09-22,2024-09-22 07:45:00,"WI-DA-63",2.05,NA,NA,NA,52.07,NA,NA
2024-09-22,2024-09-22 07:00:00,"WI-DA-46",2.7,NA,NA,NA,68.58,NA,NA
2024-09-21,2024-09-21 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-21,2024-09-21 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-21,2024-09-21 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-20,2024-09-20 07:00:00,"WI-DA-99",0.46,NA,NA,NA,11.684,NA,NA
2024-09-20,2024-09-20 08:00:00,"WI-DA-63",0.73,NA,NA,NA,18.542,NA,NA
2024-09-20,2024-09-20 07:00:00,"WI-DA-46",0.98,NA,NA,NA,24.892,NA,NA
2024-09-19,2024-09-19 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-19,2024-09-19 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-19,2024-09-19 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-18,2024-09-18 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-18,2024-09-18 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-18,2024-09-18 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-17,2024-09-17 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-17,2024-09-17 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-17,2024-09-17 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-16,2024-09-16 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-16,2024-09-16 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-16,2024-09-16 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-15,2024-09-15 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-15,2024-09-15 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-15,2024-09-15 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-14,2024-09-14 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-14,2024-09-14 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-14,2024-09-14 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-13,2024-09-13 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-13,2024-09-13 07:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-13,2024-09-13 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-12,2024-09-12 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-12,2024-09-12 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-12,2024-09-12 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-11,2024-09-11 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-11,2024-09-11 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-11,2024-09-11 07:00:00,"WI-DA-46",0,NA,NA,NA,0,NA,NA
2024-09-10,2024-09-10 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-10,2024-09-10 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-10,2024-09-10 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-09,2024-09-09 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-09,2024-09-09 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-09,2024-09-09 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-08,2024-09-08 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-08,2024-09-08 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-08,2024-09-08 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-07,2024-09-07 07:00:00,"WI-DA-99",0.03,NA,NA,NA,0.762,NA,NA
2024-09-07,2024-09-07 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-07,2024-09-07 08:00:00,"WI-DA-60",0.06,NA,NA,NA,1.524,NA,NA
2024-09-07,2024-09-07 07:00:00,"WI-DA-46",0.06,NA,NA,NA,1.524,NA,NA
2024-09-06,2024-09-06 07:00:00,"WI-DA-99",0.01,NA,NA,NA,0.254,NA,NA
2024-09-06,2024-09-06 08:00:00,"WI-DA-63",0.06,NA,NA,NA,1.524,NA,NA
2024-09-06,2024-09-06 07:00:00,"WI-DA-46",0.02,NA,NA,NA,0.508,NA,NA
2024-09-06,2024-09-06 08:00:00,"WI-DA-60",0.03,NA,NA,NA,0.762,NA,NA
2024-09-05,2024-09-05 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-05,2024-09-05 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-05,2024-09-05 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-04,2024-09-04 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-04,2024-09-04 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-04,2024-09-04 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-03,2024-09-03 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-03,2024-09-03 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-03,2024-09-03 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-02,2024-09-02 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-02,2024-09-02 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-02,2024-09-02 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-09-01,2024-09-01 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-09-01,2024-09-01 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-09-01,2024-09-01 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-31,2024-08-31 07:00:00,"WI-DA-99",0,NA,NA,NA,0,NA,NA
2024-08-31,2024-08-31 08:00:00,"WI-DA-63",0.01,NA,NA,NA,0.254,NA,NA
2024-08-31,2024-08-31 07:00:00,"WI-DA-46",0.02,NA,NA,NA,0.508,NA,NA
2024-08-30,2024-08-30 07:00:00,"WI-DA-99",0.81,NA,NA,NA,20.574,NA,NA
2024-08-30,2024-08-30 08:00:00,"WI-DA-63",0.85,NA,NA,NA,21.59,NA,NA
2024-08-30,2024-08-30 08:00:00,"WI-DA-60",0.66,NA,NA,NA,16.764,NA,NA
2024-08-30,2024-08-30 07:00:00,"WI-DA-46",0.7,NA,NA,NA,17.78,NA,NA
2024-08-29,2024-08-29 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-29,2024-08-29 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-08-29,2024-08-29 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-28,2024-08-28 07:00:00,"WI-DA-99",0,NA,NA,NA,0,NA,NA
2024-08-28,2024-08-28 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-08-28,2024-08-28 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-27,2024-08-27 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-27,2024-08-27 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-08-27,2024-08-27 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-26,2024-08-26 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-26,2024-08-26 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-08-26,2024-08-26 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-25,2024-08-25 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-25,2024-08-25 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-08-25,2024-08-25 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-24,2024-08-24 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-24,2024-08-24 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-08-24,2024-08-24 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-23,2024-08-23 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-23,2024-08-23 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-08-23,2024-08-23 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-22,2024-08-22 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-22,2024-08-22 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-08-22,2024-08-22 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-21,2024-08-21 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-21,2024-08-21 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-08-21,2024-08-21 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-20,2024-08-20 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-20,2024-08-20 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-08-20,2024-08-20 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-19,2024-08-19 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-19,2024-08-19 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-08-19,2024-08-19 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-18,2024-08-18 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-18,2024-08-18 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-08-18,2024-08-18 07:00:00,"WI-DA-46",0,NA,NA,NA,0,NA,NA
2024-08-17,2024-08-17 07:00:00,"WI-DA-99",0.39,NA,NA,NA,9.906,NA,NA
2024-08-17,2024-08-17 08:00:00,"WI-DA-63",0.17,NA,NA,NA,4.318,NA,NA
2024-08-17,2024-08-17 07:00:00,"WI-DA-46",0.36,NA,NA,NA,9.144,NA,NA
2024-08-16,2024-08-16 07:00:00,"WI-DA-99",0.24,NA,NA,NA,6.096,NA,NA
2024-08-16,2024-08-16 08:00:00,"WI-DA-63",0.18,NA,NA,NA,4.572,NA,NA
2024-08-16,2024-08-16 07:00:00,"WI-DA-46",0.17,NA,NA,NA,4.318,NA,NA
2024-08-15,2024-08-15 07:00:00,"WI-DA-99",0.14,NA,NA,NA,3.556,NA,NA
2024-08-15,2024-08-15 07:00:00,"WI-DA-63",0.13,NA,NA,NA,3.302,NA,NA
2024-08-15,2024-08-15 06:00:00,"WI-DA-46",0.17,NA,NA,NA,4.318,NA,NA
2024-08-14,2024-08-14 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-14,2024-08-14 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-08-14,2024-08-14 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-13,2024-08-13 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-13,2024-08-13 06:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-08-13,2024-08-13 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-12,2024-08-12 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-12,2024-08-12 07:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-08-12,2024-08-12 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-11,2024-08-11 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-11,2024-08-11 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-08-11,2024-08-11 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-10,2024-08-10 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-10,2024-08-10 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-08-10,2024-08-10 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-09,2024-08-09 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-09,2024-08-09 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-08-09,2024-08-09 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-08,2024-08-08 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-08,2024-08-08 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-08-08,2024-08-08 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-07,2024-08-07 07:00:00,"WI-DA-99",0,NA,NA,NA,0,NA,NA
2024-08-07,2024-08-07 08:00:00,"WI-DA-63",0.02,NA,NA,NA,0.508,NA,NA
2024-08-07,2024-08-07 07:00:00,"WI-DA-46",0.01,NA,NA,NA,0.254,NA,NA
2024-08-06,2024-08-06 07:00:00,"WI-DA-99",1.39,NA,NA,NA,35.306,NA,NA
2024-08-06,2024-08-06 07:45:00,"WI-DA-63",1.33,NA,NA,NA,33.782,NA,NA
2024-08-06,2024-08-06 07:00:00,"WI-DA-46",1.26,NA,NA,NA,32.004,NA,NA
2024-08-05,2024-08-05 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-05,2024-08-05 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-04,2024-08-04 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-04,2024-08-04 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-08-04,2024-08-04 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-03,2024-08-03 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-03,2024-08-03 08:00:00,"WI-DA-63",0,0,NA,NA,0,0,NA
2024-08-03,2024-08-03 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-02,2024-08-02 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-02,2024-08-02 08:00:00,"WI-DA-63",0,NA,NA,NA,0,NA,NA
2024-08-02,2024-08-02 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
2024-08-01,2024-08-01 07:00:00,"WI-DA-99",0,0,NA,NA,0,0,NA
2024-08-01,2024-08-01 08:00:00,"WI-DA-63",0,NA,NA,NA,0,NA,NA
2024-08-01,2024-08-01 07:00:00,"WI-DA-46",0,0,NA,NA,0,0,NA
